strain_branch,strain_percent,source_directory,plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
compressive,-0.6,m0.6percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+ED,0.0,-0.03861617,-0.332086,699.5502,-699.5502,-0.3028329365,-0.1416493294
compressive,-0.8,m0.8percent,103,strain,SW+ED,15.0,124.7741,-208.8158,700.2464,-737.8703834586,-48.2254303641,52.3377507563
compressive,-0.8,m0.8percent,103,strain,SW+ED,30.0,208.3686,-386.1653,644.3082,-774.107522708,-52.1771598515,75.5596205259
compressive,-0.8,m0.8percent,103,strain,SW+ED,45.0,302.3501,-555.0342,538.3636,-820.6163502756,-59.2552456675,111.317264905
compressive,-0.8,m0.8percent,103,strain,SW+ED,60.0,328.4781,-648.5809,412.6322,-829.1371164537,-2.2359138871,106.5223981572
compressive,-0.8,m0.8percent,103,strain,SW+ED,75.0,296.4768,-693.6167,226.6274,-784.8160895286,24.3311116521,61.9217289065
compressive,-0.8,m0.8percent,103,strain,SW+ED,90.0,289.8836,-697.2396,2.494014,-753.1288064923,2.494014,54.5212086123
compressive,-0.8,m0.8percent,103,strain,SW+ED,105.0,298.5645,-694.3111,-225.5917,-785.8220427518,-22.9893317583,63.6827064671
compressive,-0.8,m0.8percent,103,strain,SW+ED,120.0,332.5667,-647.8224,-415.9306,-831.2828543382,-0.3339080235,110.6410434501
compressive,-0.8,m0.8percent,103,strain,SW+ED,135.0,304.4079,-555.0229,-538.9405,-821.4768379756,59.2998735634,113.2730387694
compressive,-0.8,m0.8percent,103,strain,SW+ED,150.0,212.4942,-386.6566,-644.0905,-774.8043476655,53.8194960819,79.3181456389
compressive,-0.8,m0.8percent,103,strain,SW+ED,165.0,124.7617,-210.0486,-698.728,-736.7054051864,49.7443193612,51.9361414934
compressive,-0.8,m0.8percent,103,strain,SW+ED,180.0,0.03861119,0.3320856,-699.5502,-699.5502,-0.3028341319,0.1416444785
compressive,-0.8,m0.8percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
compressive,-0.8,m0.8percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
